Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,RSI,Stoch_K,BB_upper,BB_lower,ATR,OBV,Returns_1d,Returns_5d,Returns_20d,Vol_ratio,Price_range,Target,Direction
2020-05-29,76.74185180664062,97.8499984741211,98.8499984741211,94.3000030517578,94.6999969482422,19891080,91.90499954223633,89.12599990844727,109.89550022125245,93.21548456867869,92.29567198088705,0.7458388273483867,60.12958817762471,92.42424067277403,97.46124735842862,86.34875172604403,4.203648617880517,-300934375,0.022466056368232623,0.08421050940854391,0.08481154971954763,1.2926138117482013,0.04649969844983346,97.9000015258789,1
2020-06-01,76.78106689453125,97.9000015258789,99.6500015258789,97.1500015258789,98.4000015258789,10106253,92.04749946594238,89.12299987792969,109.75075023651124,93.93617948517102,92.7108075027383,0.8411185775915729,60.20212479294889,87.5,98.0475382344598,86.04746069742497,4.081959430889051,-290828122,0.0005110173994640199,0.07641566586958559,0.029984201816060985,0.6676962912051239,0.025536261093307026,96.75,0
2020-06-02,75.87914276123047,96.75,98.9499969482422,96.0500030517578,98.75,18170659,92.31249961853027,89.24199981689453,109.61900024414062,94.36907494899087,93.01000694697991,0.7798516777358488,57.606370003181794,76.13167768166905,98.64265485383503,85.98234438322551,3.9975333212887194,-308998781,-0.011746695689018094,0.040322580645161255,0.05795520206258109,1.1700922994188896,0.029974097121285823,94.6999969482422,0
2020-06-03,74.27135467529297,94.6999969482422,97.8000030517578,94.4000015258789,97.75,23102350,92.41749954223633,89.37399978637696,109.48750022888184,94.41998602579876,93.13519139151786,0.5644626480046329,53.20259207202793,59.25922669973795,98.83234661357218,86.00265247090047,3.954852478759446,-332101131,-0.021188662033672312,0.0,0.022678169640661494,1.4302254172780555,0.03590286837851901,95.1500015258789,1
2020-06-04,74.6242904663086,95.1500015258789,95.5,92.75,94.1500015258789,12827335,92.43999977111817,89.66599975585937,109.34650024414063,94.53229610273418,93.28443658665572,0.42202202384175735,54.03329432554873,61.864416642420714,98.88977437523145,85.99022516700488,3.868791587419486,-319273796,0.004751896432295011,-0.0057470787868546536,0.004751896432295011,0.7877893832439953,0.02890173364056179,97.9499969482422,1
2020-06-05,76.82027435302734,97.9499969482422,98.1999969482422,94.1500015258789,95.0,11744302,92.81499977111817,90.0579997253418,109.22100021362304,95.05809623281233,93.63003365047693,0.4817800720789551,58.9196270991004,85.59318527139312,99.62066535026888,86.00933419196745,3.881734718486901,-307529494,0.02942717159706776,0.001021956828620274,0.08291874243281283,0.7140510705328733,0.04134758089378354,98.5500030517578,1
2020-06-08,77.29085540771484,98.5500030517578,100.1999969482422,97.75,98.9499969482422,14168383,93.39249992370605,90.40399978637696,109.09050022125244,95.59531266649624,93.99447582834958,0.523643462312174,59.90325714459805,86.25005086262999,100.08565062636092,86.6993492210512,3.779467734897994,-293361111,0.00612563677600364,0.006639443470356499,0.13275865576733104,0.8997448719437229,0.024860445178834543,98.0,0
2020-06-09,76.85948944091797,98.0,99.6999969482422,97.1999969482422,99.0,14232434,93.9599998474121,90.83599975585938,108.96100021362305,95.96526456395836,94.2911813225459,0.477511892462378,58.5200220336851,81.4346225187563,100.17800564802802,87.7419940467962,3.68807718240528,-307593545,-0.005580954182913045,0.012919896640826822,0.13098670830064907,0.8981412992419255,0.025510204081632654,98.1500015258789,1
2020-06-10,76.97713470458984,98.1500015258789,100.1500015258789,97.25,98.1500015258789,12104423,94.28499984741211,91.2479997253418,108.86600021362305,96.30137794271536,94.57701985612611,0.4222293901113321,58.799446147556985,82.70045834317848,100.66348716812593,87.9065125266983,3.6317860640819677,-295489122,0.0015306278150908348,0.03643088372560643,0.07092198463482413,0.7786438826857668,0.029546627415123084,98.0500030517578,0
2020-06-11,76.8987045288086,98.0500030517578,99.6999969482422,96.8000030517578,98.1500015258789,10258905,94.53499984741211,91.61499984741211,108.76825023651124,96.57039719026037,94.83427787061734,0.3471924985320858,58.51644663272971,81.85658925459175,101.08977725852213,87.98022243630209,3.5795151949678563,-305748027,-0.001018833138731412,0.03047820787569977,0.053734549554166344,0.679100301398811,0.029576683388307285,96.9000015258789,0
